"User ID","Gender","Age","AnnualSalary","Masters_Degree"
"385","Male","35","20000","0"
"681","Male","40","43500","1"
"353","Male","49","74000","0"
"895","Male","40","107500","0"
"661","Male","25","79000","0"
"846","Female","47","33500","1"
"219","Female","46","132500","1"
"588","Male","42","64000","1"
"85","Female","30","84500","0"
"465","Male","41","52000","1"
"686","Male","42","80000","0"
"408","Male","47","23000","0"
"790","Female","32","72500","0"
"116","Female","27","57000","1"
"118","Female","42","108000","1"
"54","Female","33","149000","0"
"90","Male","35","75000","0"
"372","Male","35","53000","0"
"926","Male","46","79000","0"
"94","Female","39","134000","0"
"338","Female","39","51500","1"
"134","Female","49","39000","0"
"821","Male","54","25500","0"
"294","Female","41","61500","1"
"597","Female","31","117500","1"
"567","Male","24","58000","0"
"20","Male","40","107000","0"
"108","Male","40","97500","0"
"105","Female","48","29000","1"
"994","Female","38","147500","0"
"273","Male","45","26000","1"
"263","Male","32","67500","0"
"423","Female","37","62000","1"
"88","Male","41","79500","1"
"81","Female","44","113500","0"
"257","Female","47","41500","1"
"755","Female","38","55000","1"
"249","Female","39","114500","0"
"121","Male","42","73000","1"
"489","Male","26","15000","0"
"222","Female","59","39500","1"
"590","Female","39","66500","1"
"645","Female","43","80500","0"
"689","Male","49","86000","1"
"646","Male","37","75000","0"
"964","Female","49","76500","1"
"384","Male","28","123000","0"
"826","Female","59","48500","0"
"27","Female","40","60500","0"
"268","Female","38","99500","1"
"466","Male","51","35500","1"
"411","Female","55","130000","1"
"445","Female","23","56500","1"
"428","Female","49","43500","0"
"974","Female","49","36000","0"
"828","Male","48","21500","1"
"348","Female","49","98500","1"
"730","Male","43","59500","0"
"820","Female","35","147000","0"
"917","Female","50","109500","0"
"15","Male","48","26500","0"
"365","Male","49","88000","0"
"674","Female","38","72500","1"
"30","Male","27","58000","0"
"531","Male","35","22000","1"
"190","Female","35","71000","0"
"160","Male","43","129000","0"
"371","Male","41","45000","0"
"321","Male","39","42000","1"
"230","Female","45","40500","1"
"819","Female","51","37500","1"
"351","Female","41","63000","0"
"266","Male","58","41500","1"
"629","Female","50","115500","0"
"891","Female","28","55500","0"
"311","Male","34","32500","0"
"439","Female","57","106500","1"
"861","Female","50","53500","1"
"510","Male","49","28000","1"
"277","Male","53","151500","0"
"417","Male","42","88500","1"
"123","Female","27","17000","0"
"912","Female","59","76000","1"
"667","Female","51","136500","1"
"435","Female","49","120500","0"
"722","Female","32","35500","1"
"892","Male","30","44500","1"
"279","Female","27","18500","1"
"500","Female","36","50000","1"
"684","Male","60","144500","0"
"414","Male","38","51000","1"
"349","Female","29","38500","0"
"456","Female","61","103500","0"
"485","Female","33","151500","0"
"960","Male","45","75500","1"
"233","Female","26","17000","1"
"191","Male","30","87000","1"
"471","Male","38","60500","1"
"977","Female","28","84000","1"
"120","Female","50","88000","0"
"126","Male","26","80000","1"
"23","Male","39","42000","0"
"225","Male","26","16000","1"
"772","Female","51","21500","0"
"398","Male","36","56500","0"
"367","Male","47","29500","0"
"775","Male","43","109500","0"
"324","Male","61","43500","1"
"829","Female","41","30000","0"
"478","Male","31","58000","1"
"546","Female","29","83000","0"
"942","Female","48","108500","0"
"571","Female","38","112000","0"
"375","Male","59","143000","1"
"905","Female","33","136500","1"
"132","Male","35","61000","0"
"438","Male","28","59000","1"
"972","Male","30","107000","1"
"596","Male","36","99000","0"
"395","Male","40","72500","0"
"663","Female","33","41000","1"
"903","Male","36","23500","0"
"25","Male","49","34500","1"
"599","Female","40","72000","0"
"607","Female","37","137000","1"
"928","Female","47","144000","1"
"453","Female","36","24500","0"
"509","Male","40","76500","0"
"203","Female","59","88000","0"
"450","Female","36","75000","0"
"573","Male","42","44500","0"
"662","Male","27","89000","0"
"651","Male","32","77500","1"
"19","Female","48","31500","0"
"634","Female","38","81500","0"
"647","Male","62","145500","1"
"693","Male","38","78500","1"
"728","Male","40","75000","1"
"520","Male","57","72500","1"
"213","Female","41","114500","1"
"142","Male","22","89500","1"
"322","Female","40","74500","1"
"540","Female","39","56500","0"
"743","Female","39","73000","0"
"887","Female","41","71000","1"
"241","Male","28","32000","0"
"701","Male","39","62500","0"
"848","Male","25","33000","0"
"782","Male","43","81500","1"
"877","Male","48","74000","0"
"924","Male","37","79000","0"
"83","Male","36","144000","0"
"369","Female","32","16500","1"
"579","Female","51","121500","1"
"583","Male","30","89000","0"
"919","Male","36","39500","1"
"957","Male","30","135000","0"
"973","Female","63","110500","1"
"521","Male","48","90000","1"
"41","Female","36","78500","0"
"42","Male","31","136500","1"
"327","Male","58","61500","0"
"347","Female","22","55000","0"
"148","Female","46","96000","0"
"443","Female","63","48500","0"
"700","Female","33","28000","0"
"738","Male","35","59000","0"
"527","Male","41","87000","1"
"742","Male","26","81000","0"
"175","Female","44","134500","1"
"335","Male","39","120500","0"
"996","Male","52","67500","1"
"378","Female","53","82000","1"
"655","Male","43","74500","1"
"104","Male","51","23000","1"
"221","Female","55","125000","0"
"786","Female","60","35500","0"
"536","Female","38","59500","0"
"460","Male","24","19000","0"
"710","Female","56","106500","1"
"524","Female","56","36500","0"
"890","Male","37","70000","1"
"46","Female","61","109500","1"
"95","Male","44","81500","0"
"78","Female","45","110500","1"
"402","Female","55","40500","0"
"264","Male","51","143500","1"
"34","Male","50","66500","1"
"522","Female","26","118000","1"
"850","Male","43","80500","1"
"99","Male","31","90500","0"
"462","Male","39","62500","0"
"979","Female","53","46500","0"
"432","Female","44","65500","1"
"69","Male","47","25000","1"
"943","Female","59","83000","0"
"381","Female","42","52500","1"
"958","Male","38","54500","1"
"954","Female","41","80000","1"
"612","Male","35","88000","1"
"267","Male","52","90500","0"
"785","Female","51","133500","0"
"935","Male","45","32000","0"
"805","Male","62","132500","0"
"554","Female","54","144500","0"
"990","Female","49","132500","0"
"172","Male","43","63500","0"
"429","Female","27","16500","1"
"948","Female","23","64500","1"
"89","Female","58","95000","0"
"139","Male","61","43500","0"
"70","Female","34","42500","1"
"747","Male","42","60500","0"
"542","Female","47","75500","1"
"744","Male","36","80500","0"
"498","Male","40","78500","1"
"934","Male","40","146500","1"
"253","Female","55","105500","0"
"620","Female","40","64500","0"
"778","Female","28","55000","1"
"796","Male","36","76500","1"
"532","Female","51","45500","1"
"242","Male","48","33000","0"
"504","Female","24","29500","0"
"569","Male","30","149500","1"
"1000","Female","40","76500","0"
"401","Female","62","90500","0"
"229","Male","57","60000","0"
"91","Male","31","74000","0"
"135","Female","27","31000","0"
"906","Male","42","104000","0"
"605","Male","49","90500","0"
"613","Male","36","92500","0"
"196","Male","45","66500","1"
"167","Female","31","34000","1"
"698","Male","42","98500","1"
"565","Female","32","90500","0"
"669","Male","28","59500","1"
"715","Male","37","61500","1"
"258","Female","58","38000","0"
"604","Female","57","28500","0"
"517","Female","51","37500","1"
"228","Female","27","36500","1"
"885","Male","50","36500","0"
"357","Female","57","110500","1"
"254","Male","40","77500","1"
"282","Male","30","44500","1"
"128","Male","42","73500","1"
"703","Female","40","60000","0"
"131","Male","42","65000","1"
"119","Male","43","73500","0"
"921","Female","42","136500","1"
"881","Female","49","36500","0"
"112","Female","58","127500","0"
"342","Female","29","88500","0"
"397","Male","27","81500","1"
"35","Female","42","53000","1"
"145","Female","38","80000","1"
"941","Female","34","150500","0"
"736","Female","42","79000","0"
"68","Female","35","44500","1"
"641","Male","35","116500","1"
"668","Female","26","43000","0"
"673","Male","38","81500","0"
"768","Female","42","81500","0"
"117","Female","39","75000","1"
"633","Male","47","43000","1"
"418","Female","28","44000","1"
"993","Female","44","139000","1"
"902","Male","58","75500","0"
"331","Female","32","119500","1"
"918","Female","34","29500","1"
"622","Female","45","131000","0"
"86","Male","31","88500","0"
"392","Male","49","89000","1"
"162","Male","45","56500","0"
"978","Male","26","81500","0"
"624","Male","57","61500","0"
"640","Male","56","133000","1"
"26","Female","47","47000","0"
"741","Female","43","54500","0"
"704","Male","34","44500","1"
"130","Female","38","149500","1"
"179","Male","50","29500","0"
"427","Female","49","141000","0"
"275","Male","49","81500","0"
"330","Female","35","77000","0"
"813","Female","28","32500","1"
"390","Female","27","73500","1"
"774","Female","38","113000","0"
"469","Male","49","28000","0"
"652","Male","55","71500","0"
"729","Male","40","79500","1"
"92","Female","25","33500","0"
"904","Male","27","82500","1"
"614","Female","51","98500","1"
"756","Female","27","137000","0"
"316","Female","39","113500","1"
"325","Female","37","78000","1"
"953","Male","60","34000","0"
"675","Male","31","18500","1"
"373","Female","47","51000","1"
"879","Male","36","73500","0"
"770","Male","40","43500","0"
"387","Female","36","98500","1"
"394","Female","60","43500","0"
"911","Female","45","140500","1"
"922","Male","46","59000","1"
"419","Male","38","24500","1"
"426","Female","41","72000","1"
"10","Male","24","64500","1"
"547","Male","42","79500","1"
"467","Male","28","91500","0"
"502","Male","57","134500","0"
"553","Male","33","19500","1"
"293","Male","28","89000","0"
"719","Female","59","96500","0"
"759","Male","43","66500","1"
"740","Male","42","136500","1"
"753","Female","61","49500","0"
"389","Male","50","75500","1"
"792","Female","34","43000","1"
"783","Male","44","74500","0"
"487","Female","48","51500","1"
"84","Male","37","74000","0"
"59","Female","37","51500","1"
"153","Male","39","106000","0"
"920","Female","42","31500","1"
"535","Male","63","104500","0"
"883","Female","46","41000","1"
"750","Male","38","71500","1"
"320","Female","52","143500","0"
"458","Female","51","89500","1"
"396","Female","26","15000","0"
"416","Female","32","69500","0"
"575","Male","38","63500","1"
"659","Female","48","114500","1"
"208","Female","41","52500","1"
"534","Male","52","88500","1"
"97","Female","61","47500","1"
"628","Female","62","44500","1"
"682","Female","48","30000","1"
"970","Female","34","70500","1"
"496","Male","29","43000","0"
"762","Male","38","80500","1"
"495","Female","50","52500","0"
"574","Female","58","34500","1"
"514","Female","34","72000","1"
"873","Male","24","21500","0"
"867","Female","42","73500","1"
"272","Female","38","79500","0"
"383","Male","48","24500","1"
"178","Male","46","27500","0"
"739","Female","50","44000","0"
"47","Female","48","48500","1"
"625","Female","29","56500","1"
"801","Male","38","73500","1"
"615","Male","61","35500","1"
"606","Male","43","55500","1"
"206","Female","40","139500","1"
"997","Female","41","143500","1"
"216","Male","36","59500","1"
"898","Female","45","45000","1"
"529","Female","43","133000","0"
"769","Male","38","61000","1"
"845","Female","55","92500","1"
"239","Female","54","104000","1"
"459","Male","25","87000","1"
"949","Male","31","76000","0"
"552","Male","60","42000","0"
"317","Female","38","81500","1"
"692","Female","36","72500","1"
"683","Female","45","92500","1"
"209","Female","54","148500","1"
"187","Male","29","60500","1"
"170","Female","23","28000","0"
"244","Male","46","88000","1"
"512","Male","26","30000","0"
"679","Female","39","81500","1"
"838","Male","45","151500","0"
"224","Female","36","51500","0"
"600","Female","40","62500","1"
"808","Male","25","85500","1"
"171","Female","52","147500","0"
"220","Female","30","116000","0"
"956","Male","29","43000","0"
"936","Male","40","65000","0"
"854","Male","25","80000","1"
"58","Female","43","81500","1"
"716","Female","53","91500","1"
"773","Female","46","135500","0"
"835","Female","56","84500","1"
"350","Female","26","80000","1"
"164","Male","31","18000","1"
"379","Female","62","31500","0"
"637","Male","42","149000","1"
"841","Male","48","34500","1"
"205","Female","36","66500","0"
"243","Female","31","89000","0"
"361","Female","37","55500","1"
"269","Female","41","57500","1"
"31","Female","28","59500","0"
"745","Male","33","43000","0"
"880","Male","63","36500","1"
"938","Female","50","36000","1"
"910","Female","34","25000","1"
"284","Male","29","33500","0"
"71","Male","42","46500","0"
"143","Male","28","90500","0"
"252","Female","53","34000","1"
"810","Female","38","65000","1"
"237","Male","41","66500","0"
"931","Female","43","112000","0"
"664","Male","47","89500","0"
"616","Male","38","57500","0"
"566","Female","29","45500","0"
"853","Male","38","71000","1"
"169","Female","47","107000","1"
"472","Female","41","72000","1"
"865","Female","29","85500","0"
"791","Female","37","146000","0"
"878","Male","41","61500","0"
"271","Female","36","148500","0"
"763","Male","26","32000","1"
"98","Male","32","75500","1"
"621","Female","26","72000","0"
"113","Male","42","80500","1"
"576","Male","61","103500","1"
"862","Female","53","139500","1"
"896","Male","43","77500","0"
"32","Female","47","50000","1"
"871","Male","31","50500","1"
"944","Female","49","84500","0"
"888","Female","37","127500","0"
"761","Female","52","90000","0"
"533","Male","46","23000","1"
"245","Male","23","19500","0"
"102","Male","31","16500","0"
"961","Male","35","72000","0"
"685","Male","32","120000","0"
"2","Female","38","63500","0"
"858","Female","40","82500","0"
"849","Female","22","63000","1"
"66","Female","59","106500","0"
"795","Female","46","46500","1"
"876","Male","48","44500","1"
"843","Male","46","131500","1"
"537","Female","41","51000","1"
"851","Female","58","47000","1"
"163","Male","39","146500","0"
"141","Female","57","105500","1"
"339","Male","35","79000","1"
"262","Female","39","59000","1"
"210","Male","44","130500","1"
"261","Female","34","114500","0"
"720","Female","61","25500","1"
"725","Female","38","58500","1"
"430","Female","42","75000","1"
"425","Female","30","29500","1"
"506","Female","28","37000","0"
"421","Female","53","39500","0"
"157","Male","25","24500","1"
"214","Female","60","46000","0"
"149","Male","52","24500","1"
"609","Male","40","123500","1"
"754","Female","33","69000","1"
"259","Male","27","17500","0"
"309","Female","56","126500","0"
"246","Female","38","50000","1"
"5","Male","41","108500","0"
"138","Female","43","74500","0"
"140","Male","47","80500","1"
"236","Female","38","94500","1"
"777","Female","52","138000","1"
"708","Female","27","96000","1"
"765","Male","40","57000","0"
"334","Female","46","22000","1"
"198","Male","32","18000","1"
"852","Female","32","117000","1"
"490","Male","40","59000","1"
"548","Female","39","56500","0"
"22","Female","56","131500","1"
"587","Female","30","79000","1"
"96","Male","41","76500","1"
"690","Female","61","40500","0"
"463","Male","56","74500","0"
"799","Male","35","39000","1"
"194","Female","48","131000","1"
"836","Female","36","63000","1"
"314","Female","38","138500","0"
"43","Female","51","146000","1"
"913","Female","59","29000","1"
"72","Female","28","85500","0"
"975","Male","40","72500","1"
"270","Male","23","63000","1"
"315","Male","56","40500","0"
"176","Male","41","73500","0"
"49","Male","26","91500","1"
"297","Male","24","84000","1"
"985","Female","50","40500","0"
"158","Male","42","65000","0"
"658","Female","27","58000","0"
"341","Female","23","66000","1"
"718","Female","47","83500","0"
"550","Male","49","91500","1"
"901","Female","35","73500","0"
"151","Female","57","26000","1"
"285","Male","39","96000","1"
"570","Female","31","80500","1"
"833","Female","59","24500","0"
"127","Male","40","81500","0"
"76","Female","43","109500","1"
"915","Female","42","70000","0"
"549","Female","35","50000","0"
"217","Female","39","51500","1"
"582","Male","50","29500","1"
"694","Female","32","86000","0"
"186","Male","35","27000","0"
"518","Female","40","135500","0"
"491","Female","49","135500","1"
"889","Male","36","51500","1"
"907","Male","36","21500","1"
"601","Female","58","132500","0"
"875","Female","44","74500","1"
"455","Male","40","135500","0"
"568","Male","28","21500","1"
"75","Male","23","82500","1"
"930","Male","48","41000","1"
"38","Female","43","76500","1"
"515","Female","30","62000","0"
"146","Male","32","18000","0"
"991","Female","53","38500","1"
"377","Male","44","54500","1"
"227","Male","37","55000","1"
"406","Male","46","28000","0"
"21","Male","36","62500","1"
"809","Male","54","70000","1"
"630","Female","44","39000","1"
"507","Male","51","92500","0"
"107","Female","47","97500","0"
"966","Female","32","150000","1"
"481","Female","62","78500","0"
"816","Female","25","90500","1"
"893","Female","42","61500","0"
"986","Male","35","58000","1"
"967","Male","25","22000","1"
"982","Male","41","48500","0"
"803","Female","58","23000","0"
"9","Male","46","33500","0"
"822","Male","44","89500","1"
"360","Male","35","108000","1"
"200","Female","44","74500","0"
"610","Female","48","96000","0"
"593","Female","45","55500","0"
"584","Male","41","60500","1"
"925","Female","54","105500","0"
"410","Male","22","18000","1"
"33","Male","30","62500","0"
"115","Male","40","61000","0"
"556","Male","41","59000","0"
"636","Male","52","76500","0"
"929","Female","27","81500","1"
"442","Male","29","75000","0"
"159","Male","29","61000","0"
"959","Male","27","90000","1"
"152","Male","24","23000","0"
"256","Female","37","80000","1"
"296","Female","26","35000","1"
"37","Female","22","27000","1"
"144","Male","53","72000","0"
"764","Female","27","53500","0"
"51","Male","28","79000","1"
"523","Female","44","74500","1"
"399","Female","43","71500","1"
"61","Male","59","145500","1"
"329","Male","24","55000","1"
"165","Male","31","81500","0"
"362","Female","37","71000","0"
"195","Female","52","135500","1"
"950","Male","60","83000","0"
"644","Male","36","125000","1"
"188","Female","25","28500","1"
"787","Female","29","86500","0"
"493","Female","37","57000","0"
"53","Male","60","42000","1"
"409","Female","60","124500","0"
"260","Female","54","108000","1"
"223","Female","45","81500","0"
"344","Female","49","24500","1"
"18","Male","63","44500","0"
"109","Male","47","118500","1"
"864","Female","27","44500","1"
"474","Female","38","52500","1"
"793","Male","55","39000","1"
"323","Male","61","84500","0"
"847","Female","28","85000","0"
"326","Female","26","52000","1"
"204","Female","36","73500","1"
"619","Male","32","19500","0"
"727","Female","35","25000","0"
"136","Female","54","35500","1"
"468","Female","40","82500","0"
"706","Male","43","55500","1"
"483","Female","46","114500","1"
"298","Female","24","89000","0"
"897","Male","37","144000","0"
"386","Female","46","74000","0"
"447","Male","43","105500","0"
"677","Female","48","52500","0"
"304","Male","42","108500","0"
"380","Male","50","89500","0"
"914","Male","30","49000","1"
"538","Male","33","31000","0"
"650","Male","39","71000","0"
"702","Male","40","54500","0"
"7","Female","51","134000","0"
"305","Female","53","22500","1"
"393","Male","37","100500","0"
"780","Female","40","80500","1"
"654","Male","22","73500","0"
"870","Female","41","115500","0"
"866","Female","45","82500","1"
"12","Male","29","90500","0"
"137","Female","60","89500","0"
"101","Male","38","93500","0"
"623","Female","47","42500","1"
"290","Male","34","112000","0"
"45","Male","30","17000","1"
"234","Female","44","82500","0"
"307","Male","29","80500","0"
"562","Male","29","124500","0"
"376","Female","37","76500","0"
"711","Male","50","25500","1"
"6","Female","36","45500","1"
"788","Female","59","42000","1"
"643","Female","57","33000","0"
"310","Male","49","34500","1"
"530","Male","27","31500","0"
"318","Male","49","42500","1"
"859","Female","30","84500","1"
"336","Male","38","53500","1"
"709","Female","41","60000","0"
"278","Female","43","91500","1"
"413","Female","53","90500","1"
"749","Male","35","55000","0"
"594","Male","50","45500","0"
"366","Male","45","56500","1"
"201","Female","34","61500","1"
"525","Female","42","72500","0"
"29","Male","36","40500","0"
"665","Male","48","81500","0"
"444","Female","26","84000","0"
"57","Male","26","88500","0"
"746","Female","36","54000","0"
"834","Female","42","80000","0"
"995","Male","41","58500","1"
"11","Male","40","57000","0"
"653","Female","35","60000","1"
"358","Male","39","101500","1"
"79","Male","35","91000","1"
"671","Female","42","75500","1"
"872","Female","42","73500","0"
"672","Male","38","61000","0"
"8","Female","54","26000","1"
"129","Male","47","105000","0"
"328","Male","37","77000","1"
"161","Male","42","53500","1"
"368","Male","36","89500","0"
"499","Female","35","23000","0"
"308","Male","35","50000","1"
"771","Male","28","89500","0"
"180","Male","27","33500","0"
"44","Male","49","142500","1"
"265","Female","42","61500","1"
"855","Male","41","73500","0"
"363","Female","51","32500","1"
"840","Male","36","52000","1"
"999","Male","60","131500","0"
"17","Male","40","57000","0"
"133","Female","39","65500","1"
"955","Male","33","101500","1"
"894","Male","46","117000","0"
"503","Male","35","73000","1"
"869","Male","60","102000","0"
"48","Female","32","135000","1"
"874","Female","39","128500","0"
"578","Female","38","62500","1"
"312","Female","55","23500","1"
"110","Male","35","113500","0"
"13","Male","29","80000","0"
"734","Female","47","113000","0"
"670","Male","41","72000","1"
"603","Female","43","62500","0"
"189","Male","44","54500","0"
"559","Male","30","76500","0"
"226","Female","50","146500","0"
"837","Female","52","114000","1"
"346","Female","28","58500","0"
"733","Female","36","126000","1"
"306","Male","37","52000","1"
"448","Male","59","135500","1"
"585","Male","41","58500","0"
"726","Male","23","20000","0"
"391","Male","25","59500","1"
"56","Female","37","80000","0"
"286","Male","39","122000","1"
"482","Female","60","30500","0"
"595","Female","40","142000","1"
"100","Male","47","24500","1"
"807","Male","36","74500","1"
"111","Male","38","41500","0"
"939","Female","55","27500","0"
"215","Female","60","28500","0"
"449","Male","34","115000","0"
"55","Male","27","87500","0"
"288","Female","33","118500","0"
"817","Female","28","97500","0"
"543","Female","29","83000","0"
"752","Female","33","51000","0"
"516","Female","53","115500","0"
"856","Male","38","76500","0"
"50","Male","37","53000","0"
"627","Male","30","81500","0"
"657","Male","38","145500","0"
"4","Female","48","119000","0"
"433","Female","33","113000","0"
"238","Female","50","142500","1"
"940","Male","45","79000","1"
"193","Male","51","35500","1"
"80","Female","35","72000","0"
"988","Male","41","79000","0"
"784","Female","53","143000","1"
"475","Female","55","109500","1"
"240","Female","46","82000","0"
"969","Female","25","56500","0"
"945","Male","58","144000","0"
"74","Female","29","60500","1"
"486","Female","50","20000","1"
"937","Female","36","58500","1"
"422","Male","59","62500","1"
"359","Female","48","47500","1"
"446","Female","50","37500","0"
"231","Female","27","85500","1"
"688","Male","27","16500","1"
"370","Female","24","49500","0"
"699","Female","42","77500","1"
"122","Male","35","44500","1"
"183","Female","44","62500","0"
"484","Male","37","126500","0"
"431","Male","63","44500","0"
"697","Male","41","72500","1"
"678","Male","47","20000","0"
"899","Male","27","88000","1"
"28","Female","56","104000","1"
"313","Male","38","77500","0"
"251","Female","31","68000","1"
"93","Male","50","87500","0"
"125","Male","52","30500","0"
"811","Female","49","97500","0"
"923","Female","38","74500","0"
"352","Female","24","55000","1"
"635","Male","42","124500","0"
"519","Female","46","32000","1"
"551","Female","41","52500","1"
"374","Male","60","62500","1"
"461","Female","40","59500","0"
"714","Female","22","17500","1"
"776","Female","40","95500","0"
"295","Male","40","55500","1"
"276","Female","55","116500","0"
"602","Female","28","18500","0"
"825","Female","27","119500","1"
"705","Male","43","65500","0"
"364","Female","41","76500","1"
"528","Female","37","64500","1"
"103","Male","39","134000","0"
"60","Male","48","141000","0"
"480","Male","37","119500","1"
"73","Male","60","76500","1"
"301","Male","37","53500","0"
"839","Female","38","79500","0"
"400","Male","30","15000","1"
"340","Female","53","22500","0"
"691","Female","58","27500","1"
"247","Female","43","144500","0"
"64","Female","40","80500","1"
"24","Female","37","93000","0"
"842","Male","30","80000","0"
"497","Female","45","72500","0"
"831","Female","45","22000","0"
"436","Female","23","48000","1"
"67","Female","38","50000","1"
"737","Male","26","23500","0"
"983","Female","33","87500","1"
"218","Female","27","54000","0"
"166","Male","43","67500","1"
"454","Male","59","130000","1"
"437","Male","42","53500","1"
"732","Female","31","118000","1"
"281","Male","39","72500","0"
"827","Male","31","66000","0"
"589","Male","35","38000","1"
"723","Female","60","84500","0"
"909","Male","38","56500","1"
"544","Male","61","146500","0"
"992","Male","26","34500","1"
"638","Male","39","127500","0"
"812","Male","36","28500","1"
"403","Male","45","67500","1"
"656","Female","48","35000","1"
"250","Male","41","63500","0"
"598","Female","42","90000","0"
"62","Male","25","20500","1"
"40","Male","26","86000","1"
"767","Male","37","72000","1"
"202","Female","40","72500","1"
"591","Female","60","108000","1"
"696","Female","54","83500","0"
"984","Male","36","60500","1"
"586","Female","41","67500","1"
"626","Female","37","33000","0"
"724","Male","54","73500","1"
"354","Male","41","53500","0"
"884","Male","56","60000","0"
"758","Male","43","150500","0"
"545","Male","49","119500","1"
"908","Female","39","61000","0"
"248","Female","23","82000","1"
"355","Female","31","63500","1"
"289","Male","35","75000","0"
"804","Female","48","145500","1"
"618","Male","39","77000","0"
"916","Female","42","73500","1"
"292","Female","33","118500","1"
"488","Female","47","49000","1"
"52","Male","40","71000","0"
"815","Female","23","28500","1"
"473","Male","41","58500","0"
"337","Female","35","47000","1"
"639","Female","40","148500","0"
"932","Male","36","76500","0"
"274","Male","46","23500","0"
"451","Male","31","108500","0"
"63","Female","55","140500","1"
"291","Female","52","41500","1"
"155","Male","40","47000","0"
"751","Male","45","106500","1"
"860","Male","36","60000","1"
"789","Male","42","73500","1"
"303","Male","52","91500","1"
"232","Male","36","118000","1"
"181","Female","47","30000","1"
"560","Male","43","66500","1"
"343","Female","58","123500","1"
"501","Female","57","122000","0"
"464","Female","49","31500","1"
"319","Male","49","75500","1"
"952","Male","37","145500","1"
"356","Female","42","64500","0"
"779","Male","45","22000","0"
"14","Male","47","60500","0"
"192","Male","39","35500","1"
"581","Female","35","26500","0"
"494","Female","22","69500","1"
"981","Male","37","34500","0"
"412","Female","61","97500","1"
"505","Female","33","60000","1"
"16","Male","55","152500","0"
"508","Male","36","54500","1"
"211","Male","39","62500","1"
"818","Male","48","35500","1"
"823","Female","32","117000","0"
"106","Male","33","19500","1"
"561","Male","39","72500","1"
"797","Female","41","72000","1"
"989","Female","24","27000","1"
"558","Female","51","140500","0"
"441","Male","38","71000","1"
"963","Female","52","21000","0"
"457","Male","34","43000","0"
"802","Male","48","106500","0"
"470","Female","29","28000","1"
"707","Female","59","102500","0"
"712","Female","29","47000","1"
"283","Female","50","49500","1"
"280","Male","38","75500","1"
"388","Female","36","61500","0"
"781","Female","28","59000","0"
"608","Male","43","59500","1"
"766","Male","57","74000","1"
"177","Male","36","109500","0"
"404","Female","49","139500","1"
"968","Female","34","52500","0"
"212","Female","47","141500","0"
"539","Female","35","65000","0"
"886","Male","50","107500","0"
"748","Female","41","73500","0"
"735","Male","50","90500","0"
"173","Female","56","145500","0"
"592","Female","35","57000","0"
"255","Male","40","78000","1"
"824","Female","49","34500","1"
"631","Male","25","90000","0"
"197","Male","36","33000","1"
"405","Female","48","138000","1"
"798","Male","42","54000","1"
"185","Male","51","76500","0"
"492","Male","49","65000","1"
"731","Male","46","80500","1"
"980","Male","27","20000","1"
"660","Male","39","52500","0"
"479","Female","35","97000","0"
"680","Male","47","34000","0"
"830","Female","52","38000","0"
"150","Female","49","30500","1"
"760","Female","36","26500","1"
"857","Male","26","80500","0"
"927","Female","38","34500","1"
"154","Female","48","50500","1"
"1","Male","32","100000","1"
"933","Female","40","75000","1"
"424","Female","42","81500","1"
"814","Male","41","62500","0"
"184","Female","24","83500","1"
"962","Male","52","150000","1"
"611","Female","48","133500","1"
"114","Male","41","52000","0"
"721","Male","29","148000","1"
"642","Female","58","101000","0"
"844","Female","36","48500","0"
"440","Male","63","85500","0"
"577","Female","35","44000","0"
"757","Male","22","81000","0"
"65","Female","24","32000","1"
"124","Female","39","71000","1"
"794","Female","31","15000","0"
"998","Female","60","77500","1"
"287","Male","32","59500","0"
"82","Female","46","23500","1"
"695","Female","39","79000","1"
"946","Male","39","60500","0"
"676","Male","42","54000","0"
"649","Female","28","87000","0"
"477","Female","45","77500","1"
"572","Male","48","33000","0"
"832","Female","31","71000","0"
"302","Male","33","121500","1"
"420","Female","27","84000","1"
"971","Male","25","56500","0"
"382","Female","30","48500","1"
"168","Female","24","67500","1"
"476","Female","54","136500","0"
"951","Female","53","104000","0"
"863","Male","38","59000","0"
"800","Female","47","23500","0"
"407","Female","28","138500","1"
"299","Female","48","134000","1"
"687","Female","44","73500","1"
